Rk,Player,Team,PA,AB,H,BB,BA▼,OBP,SLG,OPS
81,Vinnie Pasquantino*,KCR,253,233,60,16,0.258,0.312,0.399,0.711
82,Elly De La Cruz#,CIN,272,241,62,28,0.257,0.338,0.452,0.791
83,Gunnar Henderson*,BAL,232,214,55,18,0.257,0.315,0.425,0.74
84,Tyler Soderstrom*,ATH,265,236,60,24,0.254,0.332,0.462,0.794
85,Andrew McCutchen,PIT,213,181,46,27,0.254,0.354,0.387,0.741
86,Jordan Beck,COL,202,185,47,14,0.254,0.312,0.476,0.788
87,Lourdes Gurriel Jr.,ARI,238,217,55,14,0.253,0.298,0.433,0.731
88,Ryan Jeffers,MIN,193,170,43,20,0.253,0.342,0.4,0.742
89,Cody Bellinger*,NYY,232,202,51,24,0.252,0.328,0.441,0.768
90,Ceddanne Rafaela,BOS,218,202,51,10,0.252,0.296,0.411,0.707
91,Ian Happ#,CHC,247,214,54,30,0.252,0.344,0.35,0.695
92,Mookie Betts,LAD,243,214,54,26,0.252,0.333,0.397,0.731
93,Logan O'Hoppe,LAA,197,187,47,8,0.251,0.284,0.487,0.771
94,Wilyer Abreu*,BOS,228,203,51,24,0.251,0.329,0.483,0.812
95,Brandon Lowe*,TBR,232,215,54,15,0.251,0.302,0.451,0.753
96,Wilmer Flores,SFG,241,220,55,18,0.25,0.315,0.405,0.72
97,George Springer,TOR,220,180,45,33,0.25,0.369,0.461,0.83
98,Victor Scott II*,STL,206,180,45,19,0.25,0.325,0.339,0.664
99,Ben Rice*,NYY,205,180,45,18,0.25,0.337,0.522,0.859
100,Lars Nootbaar*,STL,268,229,57,35,0.249,0.351,0.406,0.757
