Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA▼,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
32,Xavier Edwards#,25,MIA,NL,0.3,46,209,184,20,52,4,1,0,12,11,4,20,35,0.283,0.353,0.315,0.668,87,0.31,86,58,0,1,2,2,1,*6/4DH,,edwarxa01
33,Kyle Stowers*,27,MIA,NL,0.8,58,232,206,24,58,8,2,10,33,3,1,20,66,0.282,0.351,0.485,0.836,128,0.36,124,100,5,3,1,2,1,*79/8HD,,stoweky01
34,Hunter Goodman,25,COL,NL,1,60,241,224,30,63,13,2,10,36,1,1,13,62,0.281,0.328,0.491,0.819,118,0.356,118,110,9,3,0,1,0,2D/H,,goodmhu01
35,Luis Arráez*,28,SDP,NL,0,54,236,217,24,61,12,3,3,21,2,1,11,5,0.281,0.315,0.406,0.72,101,0.317,98,88,3,1,4,3,0,*3/DH,,arraelu01
36,Masyn Winn,23,STL,NL,1.1,49,203,178,35,50,10,0,6,20,2,4,19,43,0.281,0.356,0.438,0.795,123,0.341,121,78,2,3,1,2,0,*6,,winnma01
37,Francisco Lindor#,31,NYM,NL,2.2,61,283,247,42,69,10,0,14,36,11,2,23,49,0.279,0.353,0.49,0.843,141,0.372,140,121,4,8,0,5,2,*6,,lindofr01
38,Vladimir Guerrero Jr.,26,TOR,AL,1.7,61,269,226,36,63,10,0,8,28,1,1,38,41,0.279,0.387,0.429,0.816,130,0.356,129,97,3,3,0,2,4,*3/DH,,guerrvl02
39,J.P. Crawford*,30,SEA,AL,2,58,242,201,27,56,7,0,5,22,2,0,38,48,0.279,0.396,0.388,0.784,134,0.355,138,78,1,1,2,0,0,*6/H,,crawfjp01
40,Teoscar Hernández,32,LAD,NL,1.6,48,197,187,31,52,14,0,10,42,5,0,7,46,0.278,0.306,0.513,0.819,130,0.357,127,96,5,1,0,1,0,*9/H,,hernate01
41,Geraldo Perdomo#,25,ARI,NL,2,60,260,213,30,59,13,0,6,41,11,0,35,29,0.277,0.376,0.423,0.799,123,0.366,124,90,3,3,2,7,0,*6/H,,perdoge01
42,Ernie Clement,29,TOR,AL,1.6,59,194,177,21,49,11,0,3,17,2,2,11,25,0.277,0.319,0.39,0.709,99,0.314,99,69,3,1,3,2,0,54/H63,,clemeer01
43,Brice Turang*,25,MIL,NL,2.4,60,258,224,43,62,8,0,4,25,14,4,29,55,0.277,0.358,0.366,0.724,106,0.347,117,82,1,1,1,3,0,*4/H,,turanbr02
44,Alec Bohm,28,PHI,NL,0.2,58,242,228,26,63,8,1,5,21,1,0,9,38,0.276,0.31,0.386,0.696,93,0.306,88,88,9,3,0,2,0,*5/3,,bohmal01
45,Pete Crow-Armstrong*,23,CHC,NL,3.7,61,258,239,48,66,15,3,15,51,21,3,13,67,0.276,0.314,0.552,0.866,145,0.39,147,132,0,1,3,2,0,*8,,crowape01
46,Nick Castellanos,33,PHI,NL,-0.1,61,253,232,28,64,14,0,6,31,2,0,14,46,0.276,0.32,0.414,0.734,103,0.327,101,96,4,3,0,4,0,*9/D,,casteni01
47,Michael Busch*,27,CHC,NL,1.8,57,214,185,27,51,11,3,9,36,3,0,24,51,0.276,0.374,0.514,0.887,154,0.389,154,95,1,5,0,0,1,*3H/D,,buschmi02
48,Bo Bichette,27,TOR,AL,0.9,61,277,258,26,71,17,1,7,33,4,2,16,44,0.275,0.321,0.43,0.752,110,0.334,112,111,5,2,0,1,1,*6/DH,,bichebo01
49,Nolan Schanuel*,23,LAA,AL,0.9,59,243,204,32,56,11,1,3,18,1,1,33,30,0.275,0.379,0.382,0.762,118,0.346,124,78,5,2,3,1,3,*3,,schanno01
50,Jung Hoo Lee*,26,SFG,NL,1.5,61,257,237,33,65,16,2,6,32,6,1,15,31,0.274,0.319,0.435,0.754,115,0.335,113,103,0,2,0,3,0,*8/DH,,leeju01
51,Marcell Ozuna,34,ATL,NL,1.8,57,249,197,28,54,6,0,10,25,0,0,49,55,0.274,0.418,0.457,0.875,147,0.397,156,90,4,1,0,2,1,*D,,ozunama01
52,Jarren Duran*,28,BOS,AL,1.2,63,297,274,34,75,17,6,4,35,13,5,18,64,0.274,0.323,0.423,0.747,107,0.338,111,116,3,3,0,2,0,*7/89,,duranja01
53,Lenyn Sosa,25,CHW,AL,0.3,57,207,201,15,55,10,0,4,17,1,0,5,48,0.274,0.291,0.383,0.674,91,0.301,90,77,3,0,1,0,0,*43/H5D,,sosale01
54,Ty France,30,MIN,AL,0.7,59,238,216,24,59,9,0,4,32,1,0,10,37,0.273,0.336,0.37,0.707,99,0.326,104,80,6,11,0,1,0,*3/H,,francty01
55,Fernando Tatis Jr.,26,SDP,NL,3,59,258,231,43,63,8,1,13,28,12,2,25,46,0.273,0.345,0.485,0.83,131,0.385,142,112,4,1,0,1,2,*9/D,,tatisfe02
56,Kerry Carpenter*,27,DET,AL,0.9,58,218,206,35,56,8,1,13,27,1,1,7,45,0.272,0.301,0.51,0.811,126,0.35,128,105,2,2,0,1,0,*97D/H,,carpeke01
57,Austin Riley,28,ATL,NL,1.1,60,265,244,31,66,10,0,10,33,2,1,18,72,0.27,0.328,0.434,0.763,113,0.337,113,106,5,3,0,0,1,*5,,rileyau01
58,Gleyber Torres,28,DET,AL,1.4,50,214,178,28,48,9,0,5,29,4,1,31,24,0.27,0.383,0.404,0.788,126,0.36,132,72,4,3,0,2,0,*4/DH,,torregl01
59,Rhys Hoskins,32,MIL,NL,1,59,231,197,21,53,9,0,9,35,2,1,29,59,0.269,0.364,0.452,0.815,129,0.36,130,89,3,2,0,3,2,*3/HD,,hoskirh01
60,Byron Buxton,31,MIN,AL,1.7,46,201,183,37,49,6,3,10,37,10,0,12,62,0.268,0.313,0.497,0.811,123,0.353,116,91,0,2,0,4,1,*8/D,,buxtoby01
61,CJ Abrams*,24,WSN,NL,1.8,48,214,191,35,51,11,2,8,20,11,2,13,40,0.267,0.338,0.471,0.809,130,0.366,133,90,2,8,1,1,0,*6,,abramcj01
62,Josh Jung,27,TEX,AL,1.1,53,208,195,19,52,7,1,7,23,4,1,12,50,0.267,0.313,0.421,0.733,111,0.325,111,82,3,1,0,0,0,*5/D,,jungjo01
63,Zach McKinstry*,30,DET,AL,1.7,56,215,184,30,49,10,4,3,19,3,1,27,51,0.266,0.36,0.413,0.773,121,0.344,121,76,3,1,1,2,1,597/6H4D,,mckinza01
64,Seiya Suzuki,30,CHC,NL,1.6,57,255,226,34,60,18,2,14,53,1,2,24,65,0.265,0.329,0.549,0.878,149,0.379,151,124,6,0,0,5,0,*D7/9,,suzukse01
65,Jose Altuve,35,HOU,AL,-0.3,59,250,231,28,61,6,0,9,22,5,3,17,44,0.264,0.312,0.407,0.719,102,0.314,99,94,5,0,0,2,2,74D,,altuvjo01
66,Brent Rooker,30,ATH,AL,1.2,63,276,250,37,66,11,1,13,33,2,1,24,63,0.264,0.333,0.472,0.805,126,0.356,130,118,6,2,0,0,0,*D/97H,,rookebr01
67,Jackson Holliday*,21,BAL,AL,0.6,54,216,201,21,53,8,2,7,26,5,5,11,50,0.264,0.315,0.428,0.743,114,0.332,122,86,3,4,0,0,0,*4/6H,,hollija01
68,Keibert Ruiz#,26,WSN,NL,0.5,53,212,201,18,53,10,0,2,22,0,2,8,21,0.264,0.302,0.343,0.645,86,0.298,93,69,3,3,0,0,0,*2/H,,ruizke01
69,Cal Raleigh#,28,SEA,AL,3.4,60,261,220,40,58,11,0,23,46,6,1,37,72,0.264,0.375,0.627,1.003,190,0.426,190,138,3,3,0,1,3,*2D/H,,raleica01
70,Gavin Sheets*,29,SDP,NL,0.5,57,203,186,23,49,7,1,11,38,1,0,14,46,0.263,0.32,0.489,0.809,124,0.35,121,91,4,2,0,1,0,D3H/7,,sheetga01
71,Trevor Larnach*,28,MIN,AL,0.9,60,252,228,33,60,8,1,9,30,2,2,20,55,0.263,0.327,0.425,0.752,110,0.346,121,97,5,2,0,1,1,9D7/H,,larnatr01
72,Bryce Harper*,32,PHI,NL,1.6,56,249,209,32,55,13,0,9,34,8,0,35,44,0.263,0.373,0.455,0.828,130,0.374,132,95,2,3,0,2,2,*3/D,,harpebr03
73,Lawrence Butler*,24,ATH,AL,1.4,59,260,236,34,62,19,1,9,27,9,2,24,67,0.263,0.331,0.466,0.797,124,0.35,122,110,2,0,0,0,0,*9/8H,,butlela01
74,Carlos Santana#,39,CLE,AL,1.5,56,232,195,31,51,6,0,7,29,2,0,31,41,0.262,0.366,0.4,0.766,118,0.344,119,78,4,3,0,3,1,*3D/H,,santaca01
75,Josh Smith*,27,TEX,AL,1.4,53,201,180,22,47,7,1,5,16,7,2,18,37,0.261,0.33,0.394,0.724,110,0.336,118,71,0,1,1,1,1,65/3H478D9,,smithjo11
76,Jackson Chourio,21,MIL,NL,0.9,62,280,269,39,70,18,1,10,37,12,4,9,58,0.26,0.286,0.446,0.732,103,0.329,106,120,6,1,0,1,0,*879/D,,chourja01
77,Kyle Schwarber*,32,PHI,NL,2.2,61,270,223,44,58,9,1,19,44,4,1,43,66,0.26,0.389,0.565,0.954,163,0.413,164,126,1,4,0,0,2,*D/7,,schwaky01
78,Corbin Carroll*,24,ARI,NL,2.5,61,276,247,47,64,11,6,18,39,10,4,23,67,0.259,0.337,0.571,0.908,148,0.39,147,141,2,6,0,0,1,*9/H,,carroco02
79,Junior Caminero,21,TBR,AL,0.7,57,235,221,32,57,13,0,14,38,4,0,11,44,0.258,0.289,0.507,0.796,124,0.356,130,112,16,0,0,3,0,*5/DH3,,caminju01
80,Luis García Jr.*,25,WSN,NL,-0.1,53,209,190,28,49,13,0,5,26,7,3,12,27,0.258,0.301,0.405,0.707,102,0.313,100,77,0,2,0,5,0,*4/H,,garcilu04
81,Vinnie Pasquantino*,27,KCR,AL,0.8,60,253,233,23,60,7,1,8,33,0,0,16,44,0.258,0.312,0.399,0.711,99,0.319,101,93,2,3,0,1,2,*3D,,pasquvi01
82,Elly De La Cruz#,23,CIN,NL,1.8,63,272,241,47,62,11,0,12,43,19,5,28,75,0.257,0.338,0.452,0.791,113,0.352,110,109,2,2,0,1,4,*6/D,,delacel01
83,Gunnar Henderson*,24,BAL,AL,1.8,53,232,214,29,55,11,2,7,15,6,1,18,62,0.257,0.315,0.425,0.74,113,0.329,112,91,4,0,0,0,1,*6/D,,hendegu01
84,Tyler Soderstrom*,23,ATH,AL,1.2,63,265,236,32,60,11,1,12,36,2,0,24,69,0.254,0.332,0.462,0.794,123,0.345,120,109,9,4,0,1,1,37/DH,,soderty01
85,Andrew McCutchen,38,PIT,NL,0.6,54,213,181,18,46,9,0,5,19,1,0,27,39,0.254,0.354,0.387,0.741,108,0.331,106,70,4,2,0,2,1,D/9H7,,mccutan01
86,Jordan Beck,24,COL,NL,0.4,52,202,185,28,47,9,4,8,18,8,4,14,59,0.254,0.312,0.476,0.788,110,0.352,115,88,1,2,0,1,0,*7/HD,,beckjo01
87,Lourdes Gurriel Jr.,31,ARI,NL,0.1,56,238,217,21,55,13,1,8,34,3,1,14,32,0.253,0.298,0.433,0.731,102,0.327,103,94,2,2,0,5,0,*7/H,,gurrilo01
88,Ryan Jeffers,28,MIN,AL,1.1,49,193,170,19,43,13,0,4,20,0,0,20,39,0.253,0.342,0.4,0.742,108,0.328,107,68,5,3,0,0,1,2D/H,,jeffery01
89,Cody Bellinger*,29,NYY,AL,1.4,55,232,202,30,51,10,2,8,32,5,2,24,39,0.252,0.328,0.441,0.768,117,0.333,113,89,2,1,0,5,1,*789/H3,,bellico01
90,Ceddanne Rafaela,24,BOS,AL,2.4,59,218,202,35,51,10,2,6,25,7,0,10,43,0.252,0.296,0.411,0.707,96,0.319,93,83,0,3,2,1,0,*8/H,,rafaece01
91,Ian Happ#,30,CHC,NL,1,52,247,214,37,54,12,0,3,21,3,1,30,53,0.252,0.344,0.35,0.695,102,0.323,108,75,4,1,0,2,0,*7,,happia01
92,Mookie Betts,32,LAD,NL,1.8,55,243,214,43,54,5,1,8,31,5,0,26,23,0.252,0.333,0.397,0.731,109,0.336,112,85,4,1,0,2,0,*6/H,,bettsmo01
93,Logan O'Hoppe,25,LAA,AL,0.4,53,197,187,21,47,2,0,14,31,0,0,8,68,0.251,0.284,0.487,0.771,114,0.34,118,91,3,1,0,1,0,2/DH,,ohopplo01
94,Wilyer Abreu*,26,BOS,AL,1.8,61,228,203,28,51,8,0,13,31,4,2,24,52,0.251,0.329,0.483,0.812,124,0.346,119,98,4,0,0,1,4,*9/H,,abreuwi02
95,Brandon Lowe*,30,TBR,AL,1,56,232,215,32,54,7,0,12,33,2,1,15,62,0.251,0.302,0.451,0.753,114,0.33,114,97,0,1,0,1,0,*4/HD,,lowebr01
96,Wilmer Flores,33,SFG,NL,0.2,61,241,220,24,55,4,0,10,47,1,0,18,43,0.25,0.315,0.405,0.72,106,0.329,111,89,11,3,0,0,0,*D/3H,,florewi01
97,George Springer,35,TOR,AL,0.3,57,220,180,31,45,12,1,8,24,7,0,33,50,0.25,0.369,0.461,0.83,133,0.369,132,83,7,2,0,2,1,9D8/H7,,springe01
98,Victor Scott II*,24,STL,NL,1.5,56,206,180,28,45,8,1,2,19,16,1,19,54,0.25,0.325,0.339,0.664,88,0.315,84,61,1,2,3,2,0,*8/97,,scottvi01
99,Ben Rice*,26,NYY,AL,1,53,205,180,31,45,11,1,12,25,2,1,18,48,0.25,0.337,0.522,0.859,141,0.369,140,94,6,6,0,1,0,D/3H2,,ricebe01
100,Lars Nootbaar*,27,STL,NL,1.5,58,268,229,36,57,12,0,8,28,4,3,35,51,0.249,0.351,0.406,0.757,113,0.337,114,93,3,2,0,2,2,*79/8DH,,nootbla01
